Nr,exercise,level_verben,question,answer,german,english,french,case_english,case_french,verb,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
61,3,A1,übersetzen _____,aus,übersetzen aus,to translate from,"traduire de, traduire depuis",Dative,Datif,übersetzen,übersetzen aus,to translate from = übersetzen aus + Dative,"traduire de, traduire depuis = übersetzen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
62,3,A1,übersetzen _____,in,übersetzen in,to translate into,traduire en,Accusative,Accusatif,übersetzen,übersetzen in,to translate into = übersetzen in + Accusative,traduire en = übersetzen in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to translate into = übersetzen in + Accusative<br>to introduce a transformation → in + Acc.,traduire en = übersetzen in + Accusatif<br>pour introduire une transformation → in + Acc.
63,3,A1,fragen _____,nach,fragen nach,to ask for,demander,Dative,Datif,fragen,fragen nach,to ask for = fragen nach + Dative,demander = fragen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
64,3,A1,suchen _____,nach,suchen nach,to search for,"chercher, rechercher",Dative,Datif,suchen,suchen nach,to search for = suchen nach + Dative,"chercher, rechercher = suchen nach + Datif",to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to search for = suchen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,"chercher, rechercher = suchen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat."
65,3,A1,hören _____,auf,hören auf,to listen to,écouter,Accusative,Accusatif,hören,hören auf,to listen to = hören auf + Accusative,écouter = hören auf + Accusatif,to introduce an object of focus or a target → auf + Acc.,pour introduire un objet de focalisation ou une cible → auf + Acc.,to listen to = hören auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,écouter = hören auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.
66,3,A1,sprechen _____,mit,sprechen mit,to speak with,parler avec,Dative,Datif,sprechen,sprechen mit,to speak with = sprechen mit + Dative,parler avec = sprechen mit + Datif,to introduce a partner → mit + Dat.,pour introduire un partenaire → mit + Dat.,to speak with = sprechen mit + Dative<br>to introduce a partner → mit + Dat.,parler avec = sprechen mit + Datif<br>pour introduire un partenaire → mit + Dat.
67,3,A1,anfangen _____,mit,anfangen mit,to start with,commencer à,Dative,Datif,anfangen,anfangen mit,to start with = anfangen mit + Dative,commencer à = anfangen mit + Datif,to introduce a beginning or an end → mit + Dat.,pour introduire un début ou une fin → mit + Dat.,to start with = anfangen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,commencer à = anfangen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.
68,3,A1,aufhören _____,mit,aufhören mit,to stop with,arrêter de,Dative,Datif,aufhören,aufhören mit,to stop with = aufhören mit + Dative,arrêter de = aufhören mit + Datif,to introduce a beginning or an end → mit + Dat.,pour introduire un début ou une fin → mit + Dat.,to stop with = aufhören mit + Dative<br>to introduce a beginning or an end → mit + Dat.,arrêter de = aufhören mit + Datif<br>pour introduire un début ou une fin → mit + Dat.
69,3,A1,beginnen _____,mit,beginnen mit,to begin with,pour commencer,Dative,Datif,beginnen,beginnen mit,to begin with = beginnen mit + Dative,pour commencer = beginnen mit + Datif,to introduce a beginning or an end → mit + Dat.,pour introduire un début ou une fin → mit + Dat.,to begin with = beginnen mit + Dative<br>to introduce a beginning or an end → mit + Dat.,pour commencer = beginnen mit + Datif<br>pour introduire un début ou une fin → mit + Dat.
70,3,A1,sich erinnern _____,an,sich erinnern an,"to recall, to remember","se rappeler, se souvenir",Accusative,Accusatif,erinnern,sich erinnern an,"to recall, to remember = sich erinnern an + Accusative","se rappeler, se souvenir = sich erinnern an + Accusatif","to introduce the subject of a thought, with mental focus → an","pour introduire le sujet d'une pensée, avec un effort mentale → an","to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an"
71,3,A1,erzählen _____,über,erzählen über,to tell about,raconter,Accusative,Accusatif,erzählen,erzählen über,to tell about = erzählen über + Accusative,raconter = erzählen über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to tell about = erzählen über + Accusative<br>to introduce a general subject → über + Acc.,raconter = erzählen über + Accusatif<br>pour introduire un sujet général → über + Acc.
72,3,A1,lachen _____,über,lachen über,to laugh about,rire de,Accusative,Accusatif,lachen,lachen über,to laugh about = lachen über + Accusative,rire de = lachen über + Accusatif,to introduce an emotional theme → über + Acc.,pour introduire un thème émotionnel → über + Acc.,to laugh about = lachen über + Accusative<br>to introduce an emotional theme → über + Acc.,rire de = lachen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.
73,3,A1,reden _____,über,reden über,to talk about something,parler de quelque chose,Accusative,Accusatif,reden,reden über,to talk about something = reden über + Accusative,parler de quelque chose = reden über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to talk about something = reden über + Accusative<br>to introduce a general subject → über + Acc.,parler de quelque chose = reden über + Accusatif<br>pour introduire un sujet général → über + Acc.
74,3,A1,sprechen _____,über,sprechen über,to talk about,parler de,Accusative,Accusatif,sprechen,sprechen über,to talk about = sprechen über + Accusative,parler de = sprechen über + Accusatif,to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to talk about = sprechen über + Accusative<br>to introduce a general subject → über + Acc.,parler de = sprechen über + Accusatif<br>pour introduire un sujet général → über + Acc.
75,3,A1,wissen _____,über,wissen über,to know about,"savoir, connaitre sur",Accusative,Accusatif,wissen,wissen über,to know about = wissen über + Accusative,"savoir, connaitre sur = wissen über + Accusatif",to introduce a general subject → über + Acc.,pour introduire un sujet général → über + Acc.,to know about = wissen über + Accusative<br>to introduce a general subject → über + Acc.,"savoir, connaitre sur = wissen über + Accusatif<br>pour introduire un sujet général → über + Acc."
76,4,,Ich übersetze den Text _____ dem Englischen.,aus,Ich übersetze den Text aus dem Englischen.,I translate the text from English.,Je traduis le texte de l'anglais.,,,übersetzen,übersetzen aus,to translate from = übersetzen aus + Dative,"traduire de, traduire depuis = übersetzen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
77,4,,Sie übersetzt das Buch _____ dem Französischen.,aus,Sie übersetzt das Buch aus dem Französischen.,She translates the book from French.,Elle traduit le livre depuis le français.,,,übersetzen,übersetzen aus,to translate from = übersetzen aus + Dative,"traduire de, traduire depuis = übersetzen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
78,4,,Er hat einen Artikel _____ dem Spanischen übersetzt.,aus,Er hat einen Artikel aus dem Spanischen übersetzt.,He has translated an article from Spanish.,Il a traduit un article depuis l'espagnol.,,,übersetzen,übersetzen aus,to translate from = übersetzen aus + Dative,"traduire de, traduire depuis = übersetzen aus + Datif",to introduce an origin or a constituent → aus + Dat.,pour introduire une origine ou un composant → aus + Dat.,to translate from = übersetzen aus + Dative<br>to introduce an origin or a constituent → aus + Dat.,"traduire de, traduire depuis = übersetzen aus + Datif<br>pour introduire une origine ou un composant → aus + Dat."
79,4,,Ich übersetze den Brief _____ Deutsche.,ins,Ich übersetze den Brief ins Deutsche.,I translate the letter into German.,Je traduis la lettre en allemand.,,,übersetzen,übersetzen in,to translate into = übersetzen in + Accusative,traduire en = übersetzen in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to translate into = übersetzen in + Accusative<br>to introduce a transformation → in + Acc.,traduire en = übersetzen in + Accusatif<br>pour introduire une transformation → in + Acc.
80,4,,Er übersetzt das Dokument _____ seine Sprache.,in,Er übersetzt das Dokument in seine Sprache.,He translates the document into his language.,Il traduit le document dans sa langue.,,,übersetzen,übersetzen in,to translate into = übersetzen in + Accusative,traduire en = übersetzen in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to translate into = übersetzen in + Accusative<br>to introduce a transformation → in + Acc.,traduire en = übersetzen in + Accusatif<br>pour introduire une transformation → in + Acc.
81,4,,Sie übersetzt die Anleitung _____ Englische.,ins,Sie übersetzt die Anleitung ins Englische.,She translates the instructions into English.,Elle traduit les instructions en anglais.,,,übersetzen,übersetzen in,to translate into = übersetzen in + Accusative,traduire en = übersetzen in + Accusatif,to introduce a transformation → in + Acc.,pour introduire une transformation → in + Acc.,to translate into = übersetzen in + Accusative<br>to introduce a transformation → in + Acc.,traduire en = übersetzen in + Accusatif<br>pour introduire une transformation → in + Acc.
82,4,,Er fragt _____ dem Weg.,nach,Er fragt nach dem Weg.,He asks for the way.,Il demande son chemin.,,,fragen,fragen nach,to ask for = fragen nach + Dative,demander = fragen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
83,4,,Ich frage _____ dem Preis.,nach,Ich frage nach dem Preis.,I ask for the price.,Je demande le prix.,,,fragen,fragen nach,to ask for = fragen nach + Dative,demander = fragen nach + Datif,to introduce the object of a search or a desire → nach + Dat.,pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.,to ask for = fragen nach + Dative<br>to introduce the object of a search or a desire → nach + Dat.,demander = fragen nach + Datif<br>pour introduire l'objet d'une recherche ou d'un désir → nach + Dat.
