Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
103,3,Sie stellt das Fahrrad _____ die Mauer.,an,Sie stellt das Fahrrad an die Mauer.,She puts the bike on the wall.,Elle met le vélo sur le mur.,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,,
104,3,Wir kleben das Poster _____ die Tür.,an,Wir kleben das Poster an die Tür.,We stick the poster on the door.,Nous collons l'affiche sur la porte.,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,,
105,3,Er lehnt die Leiter _____ das Fenster.,an,Er lehnt die Leiter an das Fenster.,He leans the ladder on the window.,Il appuie l'échelle sur la fenêtre.,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,,
106,3,Er legt das Buch _____ den Tisch.,auf,Er legt das Buch auf den Tisch.,He puts the book on the table.,Il pose le livre sur la table.,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,,
107,3,Wir steigen _____ den Berg.,auf,Wir steigen auf den Berg.,We climb up the mountain.,Nous grimpons la montagne.,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,,
108,3,Das Kind klettert _____ den Baum.,auf,Das Kind klettert auf den Baum.,The child climbs up the tree.,L'enfant grimpe à l'arbre.,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,,
109,3,Wir setzen das Kind _____ den Stuhl.,auf,Wir setzen das Kind auf den Stuhl.,We sit the child on the chair.,Nous asseyons l'enfant sur la chaise.,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,,
110,3,Du stellst die Tasche _____ den Boden.,auf,Du stellst die Tasche auf den Boden.,You put the bag on the floor.,Tu poses le sac par terre.,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,,
111,3,Ich komme _____ Deutschland.,aus,Ich komme aus Deutschland.,I come from Germany.,Je viens d'Allemagne.,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",,
112,3,Er nimmt das Buch _____ der Tasche.,aus,Er nimmt das Buch aus der Tasche.,He takes the book out of the bag.,Il sort le livre du sac.,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",,
113,3,Wir steigen _____ dem Zug.,aus,Wir steigen aus dem Zug.,We get off the train.,Nous descendons du train.,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",,
114,3,Sie holt die Milch _____ dem Kühlschrank.,aus,Sie holt die Milch aus dem Kühlschrank.,She takes the milk out of the fridge.,Elle sort le lait du réfrigérateur.,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",,
115,3,Das Kind schaut _____ dem Fenster.,aus,Das Kind schaut aus dem Fenster.,The child looks out of the window.,L'enfant regarde par la fenêtre.,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",,
116,3,Ich gehe _____ deine Nachbarschaft.,in,Ich gehe in deine Nachbarschaft.,I'm going in your neighborhood.,Je vais dans ton quartier.,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,,
117,3,Er legt das Buch _____ den Rucksack.,in,Er legt das Buch in den Rucksack.,He puts the book into the backpack.,Il met le livre dans le sac à dos.,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,,
118,3,Wir fahren _____ die Stadt.,in,Wir fahren in die Stadt.,We are driving in the city.,Nous roulons en ville.,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,,
119,3,Sie geht _____ Zimmer.,ins,Sie geht ins Zimmer.,She goes into the room.,Elle entre dans la pièce.,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,,
120,3,Das Kind springt _____ den Pool.,in,Das Kind springt in den Pool.,The child jumps into the pool.,L'enfant saute dans la piscine.,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,,
121,3,"Ich gehe _____ Paul, er hilft mir mit den Hausaufgaben.",zu,"Ich gehe zu Paul, er hilft mir mit den Hausaufgaben.","I go to Paul's place, he helps me with my homework.","Je vais chez Paul, il m'aide avec mes devoirs.",to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,,
122,3,Wir fahren heute _____ meiner Oma.,zu,Wir fahren heute zu meiner Oma.,We're going to my grandma's today.,Nous allons chez ma grand-mère aujourd'hui.,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,,
123,3,Soll ich _____ dir kommen?,zu,Soll ich zu dir kommen?,Shall I come to your place?,Est-ce que je viendrais chez toi ?,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,,
124,3,Am Wochenende gehen wir _____ unseren Freunden.,zu,Am Wochenende gehen wir zu unseren Freunden.,We're going to our friends' house at the weekend.,Nous allons chez nos amis ce week-end.,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,,
125,3,Nach der Schule läuft Anna _____ ihrem Bruder.,zu,Nach der Schule läuft Anna zu ihrem Bruder.,"After school, Anna runs to her brother's house.","Après l'école, Anna court chez son frère.",to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,,
126,3,Ich stelle den Stuhl _____ die Tür.,hinter,Ich stelle den Stuhl hinter die Tür.,I put the chair behind the door.,J'ai mis la chaise derrière la porte.,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,,
127,3,Er legt die Tasche _____ das Sofa.,hinter,Er legt die Tasche hinter das Sofa.,He puts the bag behind the sofa.,Il met le sac derrière le canapé.,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,,
128,3,Wir gehen _____ das Haus.,hinter,Wir gehen hinter das Haus.,We go behind the house.,Nous allons derrière la maison.,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,,
129,3,Sie stellt das Fahrrad _____ den Schuppen.,hinter,Sie stellt das Fahrrad hinter den Schuppen.,She puts the bike behind the shed.,Elle met le vélo derrière le hangar.,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,,
130,3,Der Junge läuft _____ den Baum.,hinter,Der Junge läuft hinter den Baum.,The boy runs behind the tree.,Le garçon court derrière l'arbre.,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,,
131,3,Ich stelle das Auto _____ das Haus.,vor,Ich stelle das Auto vor das Haus.,I park the car in front of the house.,Je gare la voiture devant la maison.,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,,
132,3,Er legt seine Tasche _____ die Tür.,vor,Er legt seine Tasche vor die Tür.,He puts his bag in front of the door.,Il pose son sac devant la porte.,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,,
133,3,Wir gehen _____ die Schule.,vor,Wir gehen vor die Schule.,We walk in front of the school.,Nous marchons devant l'école.,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,,
134,3,Sie stellt den Stuhl _____ das Fenster.,vor,Sie stellt den Stuhl vor das Fenster.,She puts the chair in front of the window.,Elle met la chaise devant la fenêtre.,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,,
135,3,Das Kind läuft _____ den Hund.,vor,Das Kind läuft vor den Hund.,The child runs in front of the dog.,L'enfant court devant le chien.,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,,
136,3,Ich stelle den Stuhl _____ den Tisch.,neben,Ich stelle den Stuhl neben den Tisch.,I put the chair next to the table.,J'ai mis la chaise à côté de la table.,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,,
137,3,Sie legt das Buch _____ die Lampe.,neben,Sie legt das Buch neben die Lampe.,She puts the book next to the lamp.,Elle pose le livre à côté de la lampe.,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,,
138,3,Wir setzen uns _____ den Mann.,neben,Wir setzen uns neben den Mann.,We sit next to the man.,Nous nous asseyons à côté de l'homme.,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,,
139,3,Er stellt seine Tasche _____ das Bett.,neben,Er stellt seine Tasche neben das Bett.,He puts his bag next to the bed.,Il pose son sac à côté du lit.,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,,
140,3,Das Kind läuft _____ den Hund.,neben,Das Kind läuft neben den Hund.,The child runs next to the dog.,L'enfant court à côté du chien.,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,,
141,3,Ich hänge die Lampe _____ den Tisch.,über,Ich hänge die Lampe über den Tisch.,I hang the lamp over the table.,J'accroche la lampe au dessus de la table.,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,,
142,3,Er wirft den Ball _____ den Zaun.,über,Er wirft den Ball über den Zaun.,He throws the ball over the fence.,Il lance la balle par-dessus la clôture.,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,,
143,3,Sie hängt das Bild _____ das Sofa.,über,Sie hängt das Bild über das Sofa.,She hangs the picture over the sofa.,Elle accroche le tableau au-dessus du canapé.,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,,
144,3,Wir springen _____ den Bach.,über,Wir springen über den Bach.,We jump over the stream.,Nous sautons par dessus le ruisseau.,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,,
145,3,Das Flugzeug fliegt _____ die Stadt.,über,Das Flugzeug fliegt über die Stadt.,The plane flies over the city.,L'avion survole la ville.,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,,
146,3,Ich lege das Buch _____ den Tisch.,unter,Ich lege das Buch unter den Tisch.,I put the book under the table.,J'ai mis le livre sous la table.,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,,
