Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
96,6,Die Nachbarn gratulieren der _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren der freundlichen Frau zum Geburtstag.,The neighbors congratulate the friendly woman on her birthday.,Les voisins félicitent la gentille femme pour son anniversaire.,freundlich,Feminine,Féminin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
97,6,Ich helfe dem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe dem klugen Lehrer bei den Hausaufgaben.,I help the smart teacher with his homework.,J'aide le professeur intelligent avec ses devoirs.,klug,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
98,6,Sie gibt dem _____ Hund Futter.,alten,Sie gibt dem alten Hund Futter.,She gives food to the old dog.,Elle donne de la nourriture au vieux chien.,alt,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
99,6,Wir danken dem _____ Künstler für sein Werk.,schönen,Wir danken dem schönen Künstler für sein Werk.,We thank the beautiful artist for his work.,Nous remercions le bel artiste pour son travail.,schön,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
100,6,Der Professor erklärt dem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt dem fleißigen Studenten die Aufgabe.,The professor explains the task to the diligent student.,Le professeur explique la tâche à l’étudiant assidu.,fleißig,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
101,6,Die Gäste schenken dem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken dem freundlichen Kellner ein Trinkgeld.,The guests give the friendly waiter a tip.,Les invités donnent un pourboire au serveur sympathique.,freundlich,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
102,6,Ich helfe dem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe dem klugen Kind bei den Hausaufgaben.,I help the smart kid with his homework.,J'aide l'enfant intelligent avec ses devoirs.,klug,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
103,6,Er gibt dem _____ Buch einen neuen Einband.,alten,Er gibt dem alten Buch einen neuen Einband.,He gives the old book a new cover.,Il donne au vieux livre une nouvelle couverture.,alt,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
104,6,Wir danken dem _____ Gemälde für die Inspiration.,schönen,Wir danken dem schönen Gemälde für die Inspiration.,We thank the beautiful painting for the inspiration.,Nous remercions le beau tableau pour l'inspiration.,schön,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
105,6,Der Lehrer erklärt dem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt dem fleißigen Mädchen die Aufgabe.,The teacher explains the task to the diligent girl.,L'enseignant explique la tâche à la fille assidue.,fleißig,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
106,6,Die Eltern schenken dem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken dem freundlichen Lächeln viel Bedeutung.,Parents attach great importance to the friendly smile.,Les parents attachent une grande importance au sourire amical.,freundlich,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
107,6,Ich helfe den _____ Kindern bei den Hausaufgaben.,klugen,Ich helfe den klugen Kindern bei den Hausaufgaben.,I help the smart kids with their homework.,J'aide les enfants intelligents avec leurs devoirs.,klug,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
108,6,Er gibt den _____ Büchern neue Einbände.,alten,Er gibt den alten Büchern neue Einbände.,He gives the old books new covers.,Il donne aux vieux livres de nouvelles couvertures.,alt,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
109,6,Wir danken den _____ Künstlern für ihre Werke.,schönen,Wir danken den schönen Künstlern für ihre Werke.,We thank the beautiful artists for their works.,Nous remercions les beaux artistes pour leurs œuvres.,schön,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
110,6,Der Lehrer erklärt den _____ Schülern die Aufgabe.,fleißigen,Der Lehrer erklärt den fleißigen Schülern die Aufgabe.,The teacher explains the task to the diligent students.,L'enseignant explique la tâche aux élèves assidus.,fleißig,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
111,6,Die Eltern schenken den _____ Nachbarn ein Geschenk.,freundlichen,Die Eltern schenken den freundlichen Nachbarn ein Geschenk.,The parents give the friendly neighbors a gift.,Les parents offrent un cadeau aux sympathiques voisins.,freundlich,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
112,6,Ich helfe einer _____ Lehrerin bei den Hausaufgaben.,klugen,Ich helfe einer klugen Lehrerin bei den Hausaufgaben.,I'm helping a smart teacher with her homework.,J'aide une enseignante intelligente avec ses devoirs.,klug,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
113,6,Er gibt einer _____ Katze frisches Wasser.,alten,Er gibt einer alten Katze frisches Wasser.,He gives an old cat fresh water.,Il donne de l'eau fraîche à un vieux chat.,alt,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
114,6,Wir danken einer _____ Künstlerin für ihr Werk.,schönen,Wir danken einer schönen Künstlerin für ihr Werk.,We thank a beautiful artist for her work.,Nous remercions une belle artiste pour son travail.,schön,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
115,6,Die Lehrerin erklärt einer _____ Schülerin die Aufgabe.,fleißigen,Die Lehrerin erklärt einer fleißigen Schülerin die Aufgabe.,The teacher explains the task to a diligent student.,L'enseignant explique la tâche à un élève assidu.,fleißig,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
116,6,Die Nachbarn gratulieren einer _____ Frau zum Geburtstag.,freundlichen,Die Nachbarn gratulieren einer freundlichen Frau zum Geburtstag.,The neighbors congratulate a friendly woman on her birthday.,Les voisins félicitent une femme sympathique pour son anniversaire.,freundlich,Feminine,Féminin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
117,6,Ich helfe einem _____ Lehrer bei den Hausaufgaben.,klugen,Ich helfe einem klugen Lehrer bei den Hausaufgaben.,I'm helping a smart teacher with his homework.,J'aide un professeur intelligent avec ses devoirs.,klug,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
118,6,Sie gibt einem _____ Hund Futter.,alten,Sie gibt einem alten Hund Futter.,She gives food to an old dog.,Elle donne de la nourriture à un vieux chien.,alt,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
119,6,Wir danken einem _____ Künstler für sein Werk.,schönen,Wir danken einem schönen Künstler für sein Werk.,We thank a beautiful artist for his work.,Nous remercions un bel artiste pour son travail.,schön,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
120,6,Der Professor erklärt einem _____ Studenten die Aufgabe.,fleißigen,Der Professor erklärt einem fleißigen Studenten die Aufgabe.,The professor explains the task to a diligent student.,Le professeur explique la tâche à un étudiant assidu.,fleißig,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
121,6,Die Gäste schenken einem _____ Kellner ein Trinkgeld.,freundlichen,Die Gäste schenken einem freundlichen Kellner ein Trinkgeld.,Guests tip a friendly waiter.,Les clients donnent un pourboire à un serveur sympathique.,freundlich,Masculine,Masculin,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
122,6,Ich helfe einem _____ Kind bei den Hausaufgaben.,klugen,Ich helfe einem klugen Kind bei den Hausaufgaben.,I'm helping a smart kid with his homework.,J'aide un enfant intelligent avec ses devoirs.,klug,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
123,6,Er gibt einem _____ Buch einen neuen Einband.,alten,Er gibt einem alten Buch einen neuen Einband.,He gives an old book a new cover.,Il donne une nouvelle couverture à un vieux livre.,alt,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
124,6,Wir danken einem _____ Gemälde für die Inspiration.,schönen,Wir danken einem schönen Gemälde für die Inspiration.,We thank a beautiful painting for the inspiration.,Nous remercions un beau tableau pour l'inspiration.,schön,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
125,6,Der Lehrer erklärt einem _____ Mädchen die Aufgabe.,fleißigen,Der Lehrer erklärt einem fleißigen Mädchen die Aufgabe.,The teacher explains the task to a diligent girl.,L'enseignant explique la tâche à une fille assidue.,fleißig,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
126,6,Die Eltern schenken einem _____ Lächeln viel Bedeutung.,freundlichen,Die Eltern schenken einem freundlichen Lächeln viel Bedeutung.,Parents attach great importance to a friendly smile.,Les parents attachent une grande importance à un sourire amical.,freundlich,Neuter,Neutre,Dative,Datif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
127,7,für die _____ Mutter,nette,für die nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
128,7,für den _____ Vater,netten,für den netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
129,7,für das _____ Kind,nette,für das nette Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
130,7,für die _____ Eltern,netten,für die netten Eltern,,,nett,Plural,Pluriel,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
131,7,mit der _____ Mutter,netten,mit der netten Mutter,,,nett,Feminine,Féminin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
132,7,mit dem _____ Vater,netten,mit dem netten Vater,,,nett,Masculine,Masculin,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
133,7,mit dem _____ Kind,netten,mit dem netten Kind,,,nett,Neuter,Neutre,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
134,7,mit den _____ Eltern,netten,mit den netten Eltern,,,nett,Plural,Pluriel,Dative,Datif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
135,7,die _____ Mutter,nette,die nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
136,7,der _____ Vater,nette,der nette Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
137,7,das _____ Kind,nette,das nette Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
138,7,die _____ Eltern,netten,die netten Eltern,,,nett,Plural,Pluriel,Nominative,Nominatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
139,8,Ich bewundere die _____ Lehrerin.,kluge,Ich bewundere die kluge Lehrerin.,I admire the clever teacher.,J'admire le professeur intelligent.,klug,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
140,8,Er streichelt die _____ Katze.,alte,Er streichelt die alte Katze.,He strokes the old cat.,Il caresse le vieux chat.,alt,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
141,8,Wir gießen die _____ Blume im Garten.,schöne,Wir gießen die schöne Blume im Garten.,We water the beautiful flower in the garden.,Nous arrosons la belle fleur du jardin.,schön,Feminine,Féminin,Accusative,Accusatif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
