Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french
151,6,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,"After the game, the coach praised you. (Plural)","Après le match, l'entraîneur vous a félicité. (Pluriel)",Ihr,Dative,Datif,,
152,6,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",The dog always follows you when you call him. (Plural),Le chien vous suit toujours quand vous l'appelez. (Pluriel),Ihr,Dative,Datif,,
153,6,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,Can I help them organize?,Puis-je les aider à s’organiser ?,Sie (Plural),Dative,Datif,,
154,6,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,The teacher explained the new rules to them.,Le professeur leur a expliqué les nouvelles règles.,Sie (Plural),Dative,Datif,,
155,6,Die Idee mit dem Ausflug gefällt _____ sehr gut.,ihnen,Die Idee mit dem Ausflug gefällt ihnen sehr gut.,They really like the idea of the trip.,Ils aiment vraiment l’idée du voyage.,Sie (Plural),Dative,Datif,,
156,6,Nach dem Spiel hat der Trainer _____ hilfreiche Tipps gegeben.,ihnen,Nach dem Spiel hat der Trainer ihnen hilfreiche Tipps gegeben.,"After the game, the coach gave them helpful tips.","Après le match, l’entraîneur leur a donné des conseils utiles.",Sie (Plural),Dative,Datif,,
157,6,"Der Hund folgt immer _____, wenn sie ihn rufen.",ihnen,"Der Hund folgt immer ihnen, wenn sie ihn rufen.",The dog always follows them when they call him.,Le chien les suit toujours quand ils l'appellent.,Sie (Plural),Dative,Datif,,
158,6,Kann ich _____ bei der Planung helfen?,Ihnen,Kann ich Ihnen bei der Planung helfen?,Can I help you with the planning? (Formal),Puis-je vous aider avec la planification ? (Formel),Sie (Formell),Dative,Datif,,
159,6,Der Lehrer hat _____ die neuen Informationen erklärt.,Ihnen,Der Lehrer hat Ihnen die neuen Informationen erklärt.,The teacher explained the new information to you. (Formal),Le professeur vous a expliqué les nouvelles informations. (Formel),Sie (Formell),Dative,Datif,,
160,6,Die Idee mit der neuen Strategie gefällt _____?,Ihnen,Die Idee mit der neuen Strategie gefällt Ihnen?,Do you like the idea of the new strategy? (Formal),Aimez-vous l'idée de la nouvelle stratégie ? (Formel),Sie (Formell),Dative,Datif,,
161,6,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,"After the meeting, the boss complimented you. (Formal)","Après la réunion, le patron vous a complimenté. (Formel)",Sie (Formell),Dative,Datif,,
162,6,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",The dog always follows you when you call him. (Formal),Le chien vous suit toujours lorsque vous l'appelez. (Formel),Sie (Formell),Dative,Datif,,
163,7,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,Can you call me at the office tomorrow?,Peux-tu m'appeler au bureau demain ?,Ich,Accusative,Accusatif,,
164,7,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,Nobody visited me today.,Personne ne m'a rendu visite aujourd'hui.,Ich,Accusative,Accusatif,,
165,7,Der Film hat _____ gestern total begeistert.,mich,Der Film hat mich gestern total begeistert.,I was totally thrilled by the film yesterday.,J'ai été totalement enthousiasmé par le film d'hier.,Ich,Accusative,Accusatif,,
166,7,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,"After the party, I looked for you everywhere. (Singular)","Après la fête, je t'ai cherché partout. (Singulier)",Du,Accusative,Accusatif,,
167,7,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,The dog recognized you immediately. (Singular),Le chien t'a reconnu immédiatement. (Singulier),Du,Accusative,Accusatif,,
168,7,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,I saw him in the cinema yesterday.,Je l'ai vu au cinéma hier.,Er,Accusative,Accusatif,,
169,7,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,Can you call him later?,Peux-tu l'appeler plus tard ?,Er,Accusative,Accusatif,,
170,7,Der Trainer hat _____ für die Mannschaft ausgewählt.,ihn,Der Trainer hat ihn für die Mannschaft ausgewählt.,The coach selected him for the team.,L'entraîneur l'a sélectionné pour l'équipe.,Er,Accusative,Accusatif,,
171,7,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,After the party I looked for her.,"Après la fête, je l'ai cherchée.",Sie (Singular),Accusative,Accusatif,,
172,7,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,The dog recognized her immediately.,Le chien l'a reconnue immédiatement.,Sie (Singular),Accusative,Accusatif,,
173,7,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,Yesterday I saw it in the living room.,Hier je l'ai vu dans le salon.,Es,Accusative,Accusatif,,
174,7,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,Can you please put it on the table?,"Peux-tu le mettre sur la table, s'il te plaît ?",Es,Accusative,Accusatif,,
175,7,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,The dog ate it immediately.,Le chien l'a mangé immédiatement.,Es,Accusative,Accusatif,,
176,7,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.","If you need us, just call.","Si vous avez besoin de nous, appelez-nous.",Wir,Accusative,Accusatif,,
177,7,Wir haben _____ gestern in der Stadt getroffen.,uns,Wir haben uns gestern in der Stadt getroffen.,We met in town yesterday.,Nous nous sommes rencontrés hier en ville.,Wir,Accusative,Accusatif,,
178,7,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,The teacher praised you yesterday. (Plural),Le professeur t'a félicité hier. (Pluriel),Ihr,Accusative,Accusatif,,
179,7,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,I'll invite you to the cinema tomorrow. (Plural),Je t'invite au cinéma demain. (Pluriel),Ihr,Accusative,Accusatif,,
180,7,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,The dog saw you in the garden. (Plural),Le chien t'a vu dans le jardin. (Pluriel),Ihr,Accusative,Accusatif,,
181,7,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,"After the meeting, the boss invited them.","Après la réunion, le patron les a invités.",Sie (Plural),Accusative,Accusatif,,
182,7,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,Why didn't anyone inform them?,Pourquoi personne ne les a informés ?,Sie (Plural),Accusative,Accusatif,,
183,7,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,Can I call you later? (Formal),Puis-je vous appeler plus tard ? (Formel),Sie (Formell),Accusative,Accusatif,,
184,7,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,The boss wants to speak to you tomorrow. (Formal),Le patron veut vous parler demain. (Formel),Sie (Formell),Accusative,Accusatif,,
185,7,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,I saw you at the office yesterday. (Formal),Je t'ai vu au bureau hier. (Formel),Sie (Formell),Accusative,Accusatif,,
186,7,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,After the game he told me his opinion.,"Après le match, il m'a donné son avis.",Ich,Dative,Datif,,
187,7,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",The dog always follows me when I call him.,Le chien me suit toujours quand je l'appelle.,Ich,Dative,Datif,,
188,7,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,Can I help you later? (Singular),Puis-je vous aider plus tard ? (Singulier),Du,Dative,Datif,,
189,7,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,The teacher asked you a question. (Singular),Le professeur t'a posé une question. (Singulier),Du,Dative,Datif,,
190,7,Das neue Lied gefällt _____?,dir,Das neue Lied gefällt dir?,Do you like the new song? (Singular),Aimes-tu la nouvelle chanson ? (Singulier),Du,Dative,Datif,,
191,7,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,"After the game, the coach praised him.","Après le match, l'entraîneur l'a félicité.",Er,Dative,Datif,,
192,7,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows him when he calls.,Le chien le suit toujours quand il l'appelle.,Er,Dative,Datif,,
193,7,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,Can you help her with her work tomorrow?,Peux-tu l'aider avec son travail demain ?,Sie (Singular),Dative,Datif,,
194,7,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,The teacher gave her a good grade.,Le professeur lui a donné une bonne note.,Sie (Singular),Dative,Datif,,
195,7,Das neue Kleid gefällt _____ sehr gut.,ihr,Das neue Kleid gefällt ihr sehr gut.,She really likes the new dress.,Elle aime vraiment la nouvelle robe.,Sie (Singular),Dative,Datif,,
196,7,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,"After the presentation, the boss complimented it.","Après la présentation, le patron l'a complimenté.",Es,Dative,Datif,,
197,7,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows it when he calls.,Le chien le suit toujours quand il l'appelle.,Es,Dative,Datif,,
198,7,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,Can you help us decide?,Pouvez-vous nous aider à décider ?,Wir,Dative,Datif,,
199,7,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,The teacher explained the rules to us.,Le professeur nous a expliqué les règles.,Wir,Dative,Datif,,
200,7,Die Idee mit dem Ausflug gefällt _____ sehr gut.,uns,Die Idee mit dem Ausflug gefällt uns sehr gut.,We really like the idea of the trip.,Nous aimons beaucoup l’idée du voyage.,Wir,Dative,Datif,,
201,7,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,"After the game, the coach praised you. (Plural)","Après le match, l'entraîneur vous a félicité. (Pluriel)",Ihr,Dative,Datif,,
202,7,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",The dog always follows you when you call him. (Plural),Le chien vous suit toujours quand vous l'appelez. (Pluriel),Ihr,Dative,Datif,,
203,7,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,Can I help them organize?,Puis-je les aider à s’organiser ?,Sie (Plural),Dative,Datif,,
204,7,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,The teacher explained the new rules to them.,Le professeur leur a expliqué les nouvelles règles.,Sie (Plural),Dative,Datif,,
205,7,Die Idee mit dem Ausflug gefällt _____ sehr gut.,ihnen,Die Idee mit dem Ausflug gefällt ihnen sehr gut.,They really like the idea of the trip.,Ils aiment vraiment l’idée du voyage.,Sie (Plural),Dative,Datif,,
206,7,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,"After the meeting, the boss complimented you. (Formal)","Après la réunion, le patron vous a complimenté. (Formel)",Sie (Formell),Dative,Datif,,
207,7,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",The dog always follows you when you call him. (Formal),Le chien vous suit toujours lorsque vous l'appelez. (Formel),Sie (Formell),Dative,Datif,,
208,8,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,"After training, the coach praised me.","Après l’entraînement, l’entraîneur m’a félicité.",Ich,Accusative,Accusatif,,
209,8,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",Please call me when you arrive.,"S'il vous plaît, appelez-moi quand vous arrivez.",Ich,Accusative,Accusatif,,
210,8,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,Today I saw you in the park. (Singular),Aujourd'hui je t'ai vu au parc. (Singulier),Du,Accusative,Accusatif,,
211,8,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,Can I call you later? (Singular),Puis-je t'appeler plus tard ? (Singulier),Du,Accusative,Accusatif,,
212,8,Der Lehrer hat _____ gestern gelobt.,dich,Der Lehrer hat dich gestern gelobt.,The teacher praised you yesterday. (Singular),Le professeur t'a félicité hier. (Singulier),Du,Accusative,Accusatif,,
213,8,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,"After the game, I looked for him everywhere.","Après le match, je l'ai cherché partout.",Er,Accusative,Accusatif,,
214,8,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,The dog recognized him immediately.,Le chien l'a reconnu immédiatement.,Er,Accusative,Accusatif,,
215,8,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,Today I met her in the park.,Aujourd'hui je l'ai rencontrée dans le parc.,Sie (Singular),Accusative,Accusatif,,
216,8,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call her later?,Peux-tu l'appeler plus tard ?,Sie (Singular),Accusative,Accusatif,,
217,8,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,The teacher praised her yesterday.,Le professeur l'a félicitée hier.,Sie (Singular),Accusative,Accusatif,,
218,8,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,After the game I returned it.,Après le match je l'ai rendu.,Es,Accusative,Accusatif,,
219,8,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,The teacher explained it yesterday.,Le professeur l'a expliqué hier.,Es,Accusative,Accusatif,,
220,8,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,They invited us after the event.,Ils nous ont invités après l'événement.,Wir,Accusative,Accusatif,,
221,8,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,The dog recognized us immediately.,Le chien nous a reconnu immédiatement.,Wir,Accusative,Accusatif,,
222,8,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,Tomorrow the boss will take us to his office.,"Demain, le patron nous emmènera à son bureau.",Wir,Accusative,Accusatif,,
223,8,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,I recognized you immediately at the concert. (Plural),Je t'ai reconnu immédiatement au concert. (Pluriel),Ihr,Accusative,Accusatif,,
224,8,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,Can I call you later? (Plural),Puis-je t'appeler plus tard ? (Pluriel),Ihr,Accusative,Accusatif,,
225,8,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,I met them in the park yesterday.,Je les ai rencontrés au parc hier.,Sie (Plural),Accusative,Accusatif,,
226,8,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call them later?,Peux-tu les appeler plus tard ?,Sie (Plural),Accusative,Accusatif,,
227,8,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,The dog saw them in the garden.,Le chien les a vus dans le jardin.,Sie (Plural),Accusative,Accusatif,,
228,8,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,The dog recognized you immediately. (Formal),Le chien vous a reconnu immédiatement. (Formel),Sie (Formell),Accusative,Accusatif,,
229,8,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,We will inform you after the meeting. (Formal),Nous vous informerons après la réunion. (Formelle),Sie (Formell),Accusative,Accusatif,,
230,8,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,Can you please help me?,Pouvez-vous m'aider s'il vous plaît ?,Ich,Dative,Datif,,
231,8,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,The teacher gave me a good grade.,Le professeur m'a donné une bonne note.,Ich,Dative,Datif,,
